   text	   data	    bss	    dec	    hex	filename
   5933	      8	   4792	  10733	   29ed	../../..//mediatek/platform/mt6573/uboot/bmt.o
    196	      0	      4	    200	     c8	../../..//mediatek/platform/mt6573/uboot/boot_mode.o
   5195	      0	     28	   5223	   1467	../../..//mediatek/platform/mt6573/uboot/load_image.o
     48	      0	      0	     48	     30	../../..//mediatek/platform/mt6573/uboot/lowlevel_init.o
   1273	      0	      0	   1273	    4f9	../../..//mediatek/platform/mt6573/uboot/MetaLock_Check.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6573/uboot/mmc_core.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6573/uboot/mmc_test.o
    550	      0	      0	    550	    226	../../..//mediatek/platform/mt6573/uboot/mt6573_alsps.o
   1320	    224	     12	   1556	    614	../../..//mediatek/platform/mt6573/uboot/mt6573_auxadc.o
   8759	    168	   2020	  10947	   2ac3	../../..//mediatek/platform/mt6573/uboot/mt6573_bat.o
    599	      0	      0	    599	    257	../../..//mediatek/platform/mt6573/uboot/mt6573_board.o
     60	      0	      0	     60	     3c	../../..//mediatek/platform/mt6573/uboot/mt6573_disp_assert_layer.o
   1303	      0	      0	   1303	    517	../../..//mediatek/platform/mt6573/uboot/mt6573_disp_drv_dbi.o
   2705	      0	     24	   2729	    aa9	../../..//mediatek/platform/mt6573/uboot/mt6573_disp_drv_dpi.o
   5025	      0	     32	   5057	   13c1	../../..//mediatek/platform/mt6573/uboot/mt6573_disp_drv_dsi.o
   5212	      1	    464	   5677	   162d	../../..//mediatek/platform/mt6573/uboot/mt6573_disp_drv.o
   2080	      8	    192	   2280	    8e8	../../..//mediatek/platform/mt6573/uboot/mt6573_dpi_drv.o
   2012	      0	    364	   2376	    948	../../..//mediatek/platform/mt6573/uboot/mt6573_dsi_drv.o
    276	      0	      0	    276	    114	../../..//mediatek/platform/mt6573/uboot/mt6573_factory.o
    324	    196	     28	    548	    224	../../..//mediatek/platform/mt6573/uboot/mt6573_gpio_init.o
   5831	      4	      0	   5835	   16cb	../../..//mediatek/platform/mt6573/uboot/mt6573_gpio.o
    116	      0	      0	    116	     74	../../..//mediatek/platform/mt6573/uboot/mt6573_gpt.o
   2371	      0	      0	   2371	    943	../../..//mediatek/platform/mt6573/uboot/mt6573_i2c.o
     96	      0	      0	     96	     60	../../..//mediatek/platform/mt6573/uboot/mt6573_key.o
   8506	      0	  38164	  46670	   b64e	../../..//mediatek/platform/mt6573/uboot/mt6573_lcd_drv.o
   1489	      0	      4	   1493	    5d5	../../..//mediatek/platform/mt6573/uboot/mt6573_logo.o
   1269	      0	      0	   1269	    4f5	../../..//mediatek/platform/mt6573/uboot/mt6573_meta.o
   7855	   1752	    164	   9771	   262b	../../..//mediatek/platform/mt6573/uboot/mt6573_nand.o
   1032	     80	      4	   1116	    45c	../../..//mediatek/platform/mt6573/uboot/mt6573.o
   5774	     28	      8	   5810	   16b2	../../..//mediatek/platform/mt6573/uboot/mt6573_pwm.o
    477	      0	      0	    477	    1dd	../../..//mediatek/platform/mt6573/uboot/mt6573_recovery.o
   1061	      0	      0	   1061	    425	../../..//mediatek/platform/mt6573/uboot/mt6573_rtc.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6573/uboot/mt6573_sdc.o
    822	      0	      8	    830	    33e	../../..//mediatek/platform/mt6573/uboot/mt6573_serial.o
    929	      0	      0	    929	    3a1	../../..//mediatek/platform/mt6573/uboot/mt6573_sleep.o
    656	      0	      8	    664	    298	../../..//mediatek/platform/mt6573/uboot/mt6573_timer.o
    467	      0	      2	    469	    1d5	../../..//mediatek/platform/mt6573/uboot/mt6573_wdt.o
    850	     28	      4	    882	    372	../../..//mediatek/platform/mt6573/uboot/mt65xx_leds.o
   1609	      0	   4236	   5845	   16d5	../../..//mediatek/platform/mt6573/uboot/partition_mt.o
  11068	   2860	      8	  13936	   3670	../../..//mediatek/platform/mt6573/uboot/pmu6573.o
  15912	      0	      0	  15912	   3e28	../../..//mediatek/platform/mt6573/uboot/upmu_common.o
